Time ,TDS,pH,nitrate,Fertilizer,Jar #
0,276,7.71,0,0 tsp,1
0,282,7.73,0,0 tsp,2
0,2590,5.8,0,0.5 tsp,3
0,2560,5.78,0,0.5 tsp,4
0,4530,5.32,5,1 tsp,5
0,5260,5.34,5,1 tsp,6
0,7720,5,10,1.5 tsp,7
0,8230,4.89,10,1.5 tsp,8
2,279,7.91,0,0 tsp,1
2,286,7.89,0,0 tsp,2
2,2820,5.94,10,0.5 tsp,3
2,2820,6.01,10,0.5 tsp,4
2,5710,5.55,15,1 tsp,5
2,5890,5.58,15,1 tsp,6
2,9350,5.34,20,1.5 tsp,7
2,9960,5.03,20,1.5 tsp,8
4,288,7.96,0,0 tsp,1
4,291,7.88,0,0 tsp,2
4,3130,6.24,0,0.5 tsp,3
4,2850,6.2,0,0.5 tsp,4
4,5850,5.73,0,1 tsp,5
4,5890,5.76,0,1 tsp,6
4,,5.35,10,1.5 tsp,7
4,,5.35,10,1.5 tsp,8